feature_id;pim_attribute_code;ignore_flag;feature_type;feature_name;feature_description;feature_unit
7753;icecat_7753;0;y_n;"Fresh zone compartment";"A part of a fridge which is cooler than the rest, at between 0 and 3 degrees Celsius, used for chilling meats, seafood, fruit and vegetables.";
16355;icecat_16355;0;;"Active (powered) subwoofer";;
26019;icecat_26019;0;;"AZ Market";;
4316;icecat_4316;0;text;"VCR functions";;
14673;icecat_14673;0;;"Speaker terminal main/speaker";;
17082;icecat_17082;0;numerical;"Weight (with seat)";;g
23077;icecat_23077;0;y_n;"Net set included";;
8830;icecat_8830;0;;"Print speed (20x25 cm)";;s
20645;icecat_20645;0;numerical;"Gap seal (max)";;mm
13733;icecat_13733;0;dropdown;"Shoe mounting point type";;
3898;icecat_3898;0;text;"Material brush head";;
11485;icecat_11485;0;numerical;"Full body treatment time";;min
30247;icecat_30247;0;y_n;"Rotating brush";;
29729;icecat_29729;0;;"Schematic diagram";;
18787;icecat_18787;0;dropdown;"Conductor material";;
9183;icecat_9183;0;y_n;"Dioptre correction";;
20748;icecat_20748;0;;Including;;
12839;icecat_12839;0;;"Ergonomically shaped head";;
16591;icecat_16591;0;3d;"Bounding box (max) (W x D x H)";;mm
24177;icecat_24177;0;numerical;"Number of soft toys";;
11304;icecat_11304;0;range;"Calibration range";;Hz
22504;icecat_22504;0;y_n;Totem;;
30639;icecat_30639;0;numerical;"Convertible energy (per 100 g)";;MJ
574;icecat_574;0;numerical;"Maximum graphics adapter memory";"Graphics memory is determined by the (graphic) processor. Graphics memory is often shared with system memory so that it varies depending on the amount of system memory installed and system load.";MB
24443;icecat_24443;0;;"Description 1";;
26293;icecat_26293;0;numerical;"Water stream";;m
19160;icecat_19160;0;numerical;"Monopod height (min)";;mm
24350;icecat_24350;0;numerical;"Number of servings";;
1474;icecat_1474;0;y_n;Mouse;;
17928;icecat_17928;0;numerical;"Chair middle position maximum baby weight";;kg
13256;icecat_13256;0;multi_dropdown;"Control panel type";;
12284;icecat_12284;0;;"Storage pouch and stand";;
6757;icecat_6757;0;numerical;"Print speed (speed mode)";;discs/hour
13920;icecat_13920;0;;"Recording battery life (MP3, 192 Kbit/s)";;h
29604;icecat_29604;0;y_n;"Elastic footbox";;
29758;icecat_29758;0;;"Luminence variability control";;
1678;icecat_1678;0;range;"Focal length (35mm film equivalent)";;mm
8294;icecat_8294;0;numerical;"Cut sheet top margin";;mm
6570;icecat_6570;0;y_n;"DMZ support";;
17509;icecat_17509;0;y_n;"Helmet mount";;
14568;icecat_14568;0;;"FLAC supported";;
7432;icecat_7432;0;numerical;"Number of shelf positions";;
693;icecat_693;0;text;Productivity;;
8924;icecat_8924;0;numerical;"Incline setting (left)";;°
22666;icecat_22666;0;;"Bulb start-up";;
20791;icecat_20791;0;numerical;"Comb size";;mm
4206;icecat_4206;0;text;"Wireless adapter for";;
12123;icecat_12123;0;;"Hot plate indicator light";;
19315;icecat_19315;0;numerical;"MTBF (receiver)";;h
1742;icecat_1742;0;multi_dropdown;"USB connector type";"The type of USB connector/port that this product has.";
9305;icecat_9305;0;y_n;"Detachable stand";;
14992;icecat_14992;0;;"Film Mode (Cinema Progressive)";;
13876;icecat_13876;0;;"Drag and drop";;
21760;icecat_21760;0;;"DC input capable";;
6818;icecat_6818;0;alphanumeric;"Release date (DD/MM/YYYY)";"The date when the product comes on the market (can be bought in the shops).";
27839;icecat_27839;0;numerical;"Jumping surface width";;mm
11922;icecat_11922;0;;"ThermaBag material";;
10019;icecat_10019;0;text;"Output frequency range";;MHz
26878;icecat_26878;0;range;"Maximum message length";;min
30440;icecat_30440;0;y_n;"Shaped knee";;
28535;icecat_28535;0;2d;"Fax resolution (colour)";;DPI
15907;icecat_15907;0;numerical;"Number of speaker outputs";;
13687;icecat_13687;0;;"Automatic summer time setting";;
31208;icecat_31208;0;numerical;"Astragin content (per serving)";;mg
5351;icecat_5351;0;y_n;"Clean comfort cassette";;
22989;icecat_22989;0;dropdown;"Dough cutter material";;
2566;icecat_2566;0;text;"Disk exchange time";;
3762;icecat_3762;0;y_n;"System event log";;
28069;icecat_28069;0;y_n;"Adjustable blade guard";;
5091;icecat_5091;0;y_n;"Water hardness selector";;
14648;icecat_14648;0;;Appearance;;
14203;icecat_14203;0;;"Media Manager for WALKMAN";;
9628;icecat_9628;0;y_n;"Air purifying";;
22242;icecat_22242;0;text;"Butane gas pressure";;mbar
9229;icecat_9229;0;y_n;Down-firing;;
16511;icecat_16511;0;;"Network on Planar";;
26252;icecat_26252;0;y_n;"Test leads";;
14310;icecat_14310;0;;"Easy Handycam";;
11537;icecat_11537;0;y_n;"Dimmable with remote control";;
3515;icecat_3515;0;text;"Integrated application data storage (iSCSI SAN)";"Defines if the product has Intergrated Application Data Storage or not";
10989;icecat_10989;0;dropdown;"Shelves material";"The material e.g. wood, metal from which the shelves are made.";
25580;icecat_25580;0;y_n;"Face paint pen included";;
23235;icecat_23235;0;text;"Stabilization system";;
6656;icecat_6656;0;y_n;"Monthly amount used as credit (excl. VAT)";;
10271;icecat_10271;0;y_n;"Integrated systems available";;
13761;icecat_13761;0;;"Input power (min)";;dBmW
26095;icecat_26095;0;y_n;"Jeans/denim drying program";;
495;icecat_495;0;y_n;"IPP support";;
28059;icecat_28059;0;numerical;"Number of felt pads";;
19573;icecat_19573;0;;"Tip 9 dimensions";;mm
20696;icecat_20696;0;numerical;"Strands 2 quantity";;
9264;icecat_9264;0;numerical;"Number of large rollers";;
18873;icecat_18873;0;;"Ready-to-use indicator light";;
20108;icecat_20108;0;;"Telephone input";;
25641;icecat_25641;0;y_n;Seat;;
6345;icecat_6345;0;text;"Dimensions blister packaging for 3 brushes";;cm
9695;icecat_9695;0;y_n;"Bread making capability";;
5951;icecat_5951;0;text;"Print speed (colour image, best quality, 100% coverage, imperial vinyl media)";;ft²/h
27762;icecat_27762;0;;"Bluetooth frequency band";;GHz
4966;icecat_4966;0;numerical;"Recommended display area(inch)";;""""
23989;icecat_23989;0;dropdown;"Supported magnetic tape drive type";;
6070;icecat_6070;0;text;"Paper film dimensions (imperial)";;
22977;icecat_22977;0;3d;"Pizza server dimensions (W x D x H)";;mm
15248;icecat_15248;0;;"Cup support clip";;
3430;icecat_3430;0;numerical;"BD-RE write speed";;x
18663;icecat_18663;0;numerical;"Hose capacity";;m
28286;icecat_28286;0;numerical;"Number of appetizer bowls";;
27751;icecat_27751;0;y_n;"Galvanized metal";;
12423;icecat_12423;0;dropdown;"Legs material";"The material which the legs (supports) are made from.";
2165;icecat_2165;0;numerical;"Peak power";"This is the maximum power required by the device or peak music power.";W
28554;icecat_28554;0;y_n;"Poster printing function";;
27725;icecat_27725;0;y_n;"Built-in diverter";;
17597;icecat_17597;0;y_n;"Low rack";;
13006;icecat_13006;0;;"Warming period";;h
31013;icecat_31013;0;range;"Frequency range (probe)";;Hz
7603;icecat_7603;0;text;"Written by";;
16197;icecat_16197;0;numerical;"Indoor unit height";;mm
22766;icecat_22766;0;dropdown;"Lamination system";;
20168;icecat_20168;0;y_n;"Colour display";;
16405;icecat_16405;0;y_n;"RGB LED light";;
28125;icecat_28125;0;y_n;"Family game";;
30754;icecat_30754;0;multi_dropdown;"Trigger sources";;
17019;icecat_17019;0;numerical;"Mousseur embedding hole diameter";;mm
9481;icecat_9481;0;dropdown;"Flywheel type";;
2713;icecat_2713;0;y_n;"Residual heat indicator";;
11476;icecat_11476;0;numerical;"Bandwidth (first)";;GHz
872;icecat_872;0;text;"Page yield high capacity (colour)";"Page yield at 5% coverage.";
2206;icecat_2206;0;numerical;"Satellite speaker impedance";;Ω
25154;icecat_25154;0;numerical;"Vitamin C content (per serving)";;mg
31378;icecat_31378;0;numerical;"Sausage horn diameter";;mm
28424;icecat_28424;0;y_n;"Variable latching action";;
6210;icecat_6210;0;y_n;"3D landmarks";;
13570;icecat_13570;0;;"AM Reception";;
6939;icecat_6939;0;text;"Audio signal-to-noise ratio";;dB
4965;icecat_4965;0;numerical;"Maximum power";"The maximum power that can be put into or produced by the device.";W
15383;icecat_15383;0;y_n;"Acrylic liquid";;
24050;icecat_24050;0;numerical;"Number of reverse gears";;
21737;icecat_21737;0;;"Maximum resolution & refresh rate (Integrated Flat Panel)";;
7182;icecat_7182;0;y_n;"ATX power connector (20+4 pin)";;
27138;icecat_27138;0;y_n;"Suitable for porcelain";;
16253;icecat_16253;0;text;"Case form";;
9775;icecat_9775;0;numerical;Frequency;;MHz
25296;icecat_25296;0;y_n;"Energy saving";;
21096;icecat_21096;0;y_n;"Driver included";;
17967;icecat_17967;0;y_n;"Non-stick coated blade";;
21930;icecat_21930;0;numerical;"Shield size";;mm
1277;icecat_1277;0;text;"System tilt";;
27180;icecat_27180;0;y_n;"Ristretto making";;
13465;icecat_13465;0;y_n;"USB playback";;
16580;icecat_16580;0;;"iPod/iPhone over USB";;
9466;icecat_9466;0;numerical;Size;;cm
22252;icecat_22252;0;dropdown;"Valve type";;
7066;icecat_7066;0;text;"Number of layers (GB)";;
13325;icecat_13325;0;;"EAN F-box (Argentina)";;
8779;icecat_8779;0;y_n;"Thermocouple protection";;
24862;icecat_24862;0;y_n;"Step counter";;
10321;icecat_10321;0;y_n;"Intel® High Definition Audio (Intel® HD Audio)";"<b>Integrated Audio for Today and Tomorrow</b>\nA new specification for integrated audio, Intel® High Definition Audio (Intel® HD Audio) delivers the features and high-end performance of an add-in audio card while playing back more channels with improved quality. Intel HD Audio provides high-quality multi-channel audio experiences with new encoding and decoding algorithms to enhance the listening experience.";
13751;icecat_13751;0;y_n;"Easy setup";;
17246;icecat_17246;0;;"A/V shield";;
18042;icecat_18042;0;;"Number of hygiene cap included";;
22365;icecat_22365;0;numerical;"Equivalent Isotropically Radiated Power (EIRP) (@IEEE 802.11g)";;dBmW
11825;icecat_11825;0;dropdown;Waveform;;
28305;icecat_28305;0;3d;"Compatible pit dimensions 3 (WxDxH)";;mm
22042;icecat_22042;0;numerical;"Pallet length";;mm
9428;icecat_9428;0;range;"DAB III band range";;MHz
17069;icecat_17069;0;y_n;"TV stand usage";;
7472;icecat_7472;0;numerical;"Print speed (monochrome)";;card/h
30882;icecat_30882;0;y_n;"Creamy texture";;
12182;icecat_12182;0;;"Turbo steam";;
29460;icecat_29460;0;numerical;"Mirror 2 height";;mm
2666;icecat_2666;0;y_n;"Removable heating element";;
9805;icecat_9805;0;multi_dropdown;"Disc playback modes";;
2689;icecat_2689;0;numerical;"Line spacing";;mm
1967;icecat_1967;0;text;"Compatible network management tools";"List of network management tools compatible with this product; including manufacturer and coined name";
30673;icecat_30673;0;y_n;"Swing speed";;
23608;icecat_23608;0;y_n;"Aerial photos";;
17043;icecat_17043;0;;"CD-RW read/write speed (USB powered)";;
4346;icecat_4346;0;dropdown;"Blender knife";;
1417;icecat_1417;0;text;"Minimum server option";;
9797;icecat_9797;0;multi_dropdown;"Import video formats supported";;
25454;icecat_25454;0;y_n;"Pre-shaped 3D liner";;
17274;icecat_17274;0;numerical;"Detection distance";;m
3276;icecat_3276;0;numerical;"Viewfinder resolution";;pixels
31448;icecat_31448;0;numerical;"Number of laminator pouches";;
9053;icecat_9053;0;y_n;"Canal Digital certified";;
12210;icecat_12210;0;y_n;"Low pass filter";;
14608;icecat_14608;0;dropdown;"Tea input type";"The type of tea e.g. pods, K-cups that is placed into the product in order to produce a cup of tea.";
29566;icecat_29566;0;y_n;"Rack ears";;
7085;icecat_7085;0;text;"Long term storage temperature";;°C
15491;icecat_15491;0;;"Unsupported operating systems";;
27334;icecat_27334;0;dropdown;"Terminal stud size";;
15943;icecat_15943;0;numerical;"Total Harmonic Distortion plus Noise (THD+N) (out, unbalanced, L, R)";;%
23541;icecat_23541;0;numerical;"Connected load (fridge)";;W
10216;icecat_10216;0;y_n;"Toy figure(s) included";;
26583;icecat_26583;0;numerical;"Number of nights";;
18080;icecat_18080;0;numerical;"Mini PCI Express (Gen 2.x) slots";;
12205;icecat_12205;0;dropdown;"Ignition system";;
28044;icecat_28044;0;numerical;"Backboard package weight";;g
1668;icecat_1668;0;text;"Toner cartridge";;
28608;icecat_28608;0;y_n;"Return valve";;
21935;icecat_21935;0;numerical;"Insulation outer diameter";;mm
5645;icecat_5645;0;numerical;"Processor quantity per 42U rack";;
19705;icecat_19705;0;textarea;"Tongue spray ingredients";;
29203;icecat_29203;0;y_n;"Thermal pad included";;
18360;icecat_18360;0;y_n;Anti-static;;
6125;icecat_6125;0;text;"Radius server support";"Remote Authentication Dial In User Service (RADIUS) is a networking protocol that uses access servers to provide centralized management of access to large networks. RADIUS is commonly used to manage access to the internet or internal networks.";
21577;icecat_21577;0;text;"Attachments included";;
1779;icecat_1779;0;text;"Connectivity devices options";;
18564;icecat_18564;0;;"Print speed (A0/roll, plain paper)";;
6826;icecat_6826;0;text;"Depth adjustment range";;
18598;icecat_18598;0;;"Tube nose trimmer";;
9486;icecat_9486;0;multi_dropdown;"Sleeping bag accessories";;
8697;icecat_8697;0;y_n;Geotagging;;
12821;icecat_12821;0;;"Warm use";;
22870;icecat_22870;0;y_n;"Adjustable depth";;
14393;icecat_14393;0;;"Still image size (10M, 4:3 mode, 3648 x 2736)";;
23209;icecat_23209;0;multi_dropdown;"Tableware set per person";;
12227;icecat_12227;0;;"Discreet contoured shape";;
26344;icecat_26344;0;y_n;"Velcro strips included";;
12209;icecat_12209;0;;"Dynamic bass boost";;
25934;icecat_25934;0;dropdown;"Wetsuit thickness";;mm
26773;icecat_26773;0;y_n;"Can opener";;
13727;icecat_13727;0;;"Digital synthesiser tuner";;
22297;icecat_22297;0;y_n;"x10n key";;
23333;icecat_23333;0;dropdown;"Supported audio channels";;
13055;icecat_13055;0;;"Easy-to-program timer";;
